Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer
MOP,-41.14815841,32.03279498,63.86493863,MOP-6,FAN_JUG_PLY,FAN-MOP_JUG-MOP_MOP-PLY,FAN-MOP-6_JUG-MOP-6_MOP-PLY-6,FAN-6_JUG-6_PLY-6,0,outer
WIZ,-94.22729741,61.19367898,16.15277063,WIZ-4,FLY_VOW_ZZZ,FLY-WIZ_VOW-WIZ_WIZ-ZZZ,FLY-WIZ-5_VOW-WIZ-6_WIZ-ZZZ-4,FLY-5_VOW-6_ZZZ-6,0,outer
VOW,-65.23407541,67.63065498,28.89226863,VOW-6_VOW-5,DRY_FUN_OIL_FAN_WIZ,DRY-VOW_FUN-VOW_OIL-VOW_FAN-VOW_VOW-WIZ,DRY-VOW-5_FUN-VOW-5_OIL-VOW-5_FAN-VOW-6_VOW-WIZ-6,DRY-5_FUN-5_OIL-5_FAN-6_WIZ-4,0,inner
MOO,31.52915659,-135.876097,28.76128663,MOO-10,EAR_EGG_GEL_JAM,EAR-MOO_EGG-MOO_GEL-MOO_JAM-MOO,EAR-MOO-10_EGG-MOO-10_GEL-MOO-10_JAM-MOO-13,EAR-10_EGG-10_GEL-10_JAM-13,0,outer
MOM,-84.88109141,89.53200898,-64.08417237,MOM-3,EGO_GUT_OAR,EGO-MOM_GUT-MOM_MOM-OAR,EGO-MOM-3_GUT-MOM-3_MOM-OAR-3,EGO-3_GUT-3_OAR-3,0,inner
INK,-53.10752641,133.549724,-22.66342337,INK-3,ALA_MAY_SHY,ALA-INK_INK-MAY_INK-SHY,ALA-INK-3_INK-MAY-3_INK-SHY-3,ALA-3_MAY-3_SHY-5,0,outer
IVY,93.61091659,11.58407098,-12.75042237,IVY-7_IVY-2,ETA_SKY_EYE_GAS,ETA-IVY_IVY-SKY_EYE-IVY_GAS-IVY,ETA-IVY-2_IVY-SKY-2_EYE-IVY-7_GAS-IVY-11,ETA-2_SKY-2_EYE-7_GAS-11,0,inner
NOR,-75.85383241,-91.25010502,5.971789628,NOR-12_NOR-9,COY_KEY_KIT_WIG_FIG,COY-NOR_KEY-NOR_KIT-NOR_NOR-WIG_FIG-NOR,COY-NOR-12_KEY-NOR-12_FIG-NOR-12_COY-NOR-9_KEY-NOR-9_KIT-NOR-9_NOR-WIG-9,COY-12_KEY-12_FIG-12_COY-9_KEY-9_KIT-9_WIG-9,0,inner
COP,-39.98823741,-109.145583,-42.28678237,COP-10_COP-9,USE_TAT_NEW_GET,COP-USE_COP-TAT_COP-NEW_COP-GET,COP-NEW-10_COP-GET-10_COP-USE-9_COP-TAT-9,NEW-10_GET-10_USE-9_TAT-9,1,inner
COW,60.75696259,-56.31003402,27.76317763,COW-11,ODD_LIE_LUG_ZOO,COW-ODD_COW-LIE_COW-LUG_COW-ZOO,COW-ODD-11_COW-LIE-11_COW-LUG-11_COW-ZOO-11,ODD-11_LIE-11_LUG-11_ZOO-11,0,inner
COY,-80.29390641,-50.00527902,1.984625628,COY-12_COY-9,NOR_ELK_LAX_MAD,COY-NOR_COY-ELK_COY-LAX_COY-MAD,COY-NOR-12_COY-LAX-12_COY-MAD-12_COY-NOR-9_COY-ELK-9,NOR-12_LAX-12_MAD-12_NOR-9_ELK-9,0,inner
SUN,104.1034676,36.32947298,1.262630628,SUN-7_SUN-2,DUI_HIT_SKY_ACE_EYE,DUI-SUN_HIT-SUN_SKY-SUN_ACE-SUN_EYE-SUN,DUI-SUN-2_HIT-SUN-2_SKY-SUN-2_HIT-SUN-7_ACE-SUN-7_EYE-SUN-7,DUI-2_HIT-2_SKY-2_HIT-7_ACE-7_EYE-7,0,outer
DOG,-110.6943414,-17.02691602,-35.28390337,DOG-4_DOG-9,BAR_BED_AGE_CHI,BAR-DOG_BED-DOG_AGE-DOG_CHI-DOG,BAR-DOG-4_BED-DOG-4_BAR-DOG-9_BED-DOG-9_AGE-DOG-9_CHI-DOG-9,BAR-4_BED-4_BAR-9_BED-9_AGE-9_CHI-9,0,outer
ETA,97.82119359,-10.49737002,-50.66639537,ETA-8_ETA-2,BAH_TUX_IVY_PAY_WIN,BAH-ETA_ETA-TUX_ETA-IVY_ETA-PAY_ETA-WIN,BAH-ETA-2_ETA-TUX-2_ETA-IVY-2_BAH-ETA-8_ETA-TUX-8_ETA-PAY-8_ETA-WIN-8,BAH-2_TUX-2_IVY-2_BAH-8_TUX-8_PAY-8_WIN-8,0,inner
ACT,-51.10642441,-19.28789502,48.41176363,ACT-6_ACT-12,TRY_DUH_NAN_HAM_LAM,ACT-TRY_ACT-DUH_ACT-NAN_ACT-HAM_ACT-LAM,ACT-LAM-12_ACT-TRY-6_ACT-DUH-6_ACT-NAN-6_ACT-HAM-6,LAM-12_TRY-6_DUH-6_NAN-6_HAM-6,0,inner
NEW,-41.25973241,-135.328682,-42.06623437,NEW-10,COP_GET_HIP_USE,COP-NEW_GET-NEW_HIP-NEW_NEW-USE,COP-NEW-10_GET-NEW-10_HIP-NEW-10_NEW-USE-10,COP-10_GET-10_HIP-10_USE-9,1,outer
PIG,5.820940594,-117.48782,33.97493563,PIG-10_PIG-13,ALL_EGG_RUG_HOT_PRO,ALL-PIG_EGG-PIG_PIG-RUG_HOT-PIG_PIG-PRO,ALL-PIG-10_EGG-PIG-10_PIG-RUG-10_HOT-PIG-13_PIG-PRO-13,ALL-10_EGG-10_RUG-10_HOT-13_PRO-13,0,inner
REF,-28.63881841,97.75430098,25.92900463,REF-5,FUN_NAY_PLY,FUN-REF_NAY-REF_PLY-REF,FUN-REF-5_NAY-REF-5_PLY-REF-5,FUN-5_NAY-5_PLY-5,0,inner
OLD,-0.811181406,-60.86001002,71.98093063,OLD-13_OLD-14,HOT_ZAP_EVE_FOG,HOT-OLD_OLD-ZAP_EVE-OLD_FOG-OLD,HOT-OLD-13_OLD-ZAP-13_EVE-OLD-14_FOG-OLD-14,HOT-13_ZAP-13_EVE-14_FOG-14,0,outer
ZZZ,-79.23398341,42.81055598,41.84575163,ZZZ-6,FAN_GIN_HAM_NAN_WIZ,FAN-ZZZ_GIN-ZZZ_HAM-ZZZ_NAN-ZZZ_WIZ-ZZZ,FAN-ZZZ-6_GIN-ZZZ-6_HAM-ZZZ-6_NAN-ZZZ-6_WIZ-ZZZ-4,FAN-6_GIN-6_HAM-6_NAN-6_WIZ-4,0,outer
WHO,56.10229159,110.670883,-84.02869737,WHO-1,FRO_LEG_NIX_RAW_OFF,FRO-WHO_LEG-WHO_NIX-WHO_RAW-WHO_OFF-WHO,FRO-WHO-1_LEG-WHO-1_NIX-WHO-1_RAW-WHO-1_OFF-WHO-2,FRO-1_LEG-1_NIX-1_RAW-1_OFF-2,1,inner
JOB,3.845794594,74.53298798,59.56868863,JOB-5,NIL_TOY_PLY,JOB-NIL_JOB-TOY_JOB-PLY,JOB-NIL-5_JOB-TOY-5_JOB-PLY-5,NIL-5_TOY-5_PLY-5,0,outer
SEX,60.83833759,-123.218531,-17.84211037,SEX-8_SEX-10,PHI_EAR_ROB,PHI-SEX_EAR-SEX_ROB-SEX,EAR-SEX-10_ROB-SEX-10_PHI-SEX-8,EAR-10_ROB-10_PHI-8,0,inner
ASK,100.5588706,65.11660398,-67.54861437,ASK-2,GUN_TUB_OFF_FRO,ASK-GUN_ASK-TUB_ASK-OFF_ASK-FRO,ASK-GUN-2_ASK-TUB-2_ASK-OFF-2_ASK-FRO-2,GUN-2_TUB-2_OFF-2_FRO-1,0,outer
ASH,-70.85630941,-36.11951702,49.93942863,ASH-12,ART_HAM,ART-ASH_ASH-HAM,ART-ASH-12_ASH-HAM-12,ART-12_HAM-6,0,outer
ODD,85.97783059,-36.78945902,22.52835163,ODD-11,AIR_COW_GAS_KEG,AIR-ODD_COW-ODD_GAS-ODD_KEG-ODD,AIR-ODD-11_COW-ODD-11_GAS-ODD-11_KEG-ODD-11,AIR-11_COW-11_GAS-11_KEG-11,0,outer
WHY,93.63453159,-61.09995302,-20.31834037,WHY-8,KEG_PAY,KEG-WHY_PAY-WHY,KEG-WHY-8_PAY-WHY-8,KEG-8_PAY-8,0,outer
DUH,-51.47386841,5.233506983,63.54871163,DUH-6,ACT_TRY_NAN_SOY,ACT-DUH_DUH-TRY_DUH-NAN_DUH-SOY,ACT-DUH-6_DUH-TRY-6_DUH-NAN-6_DUH-SOY-6,ACT-6_TRY-6_NAN-6_SOY-6,0,outer
ELK,-74.04124941,-76.36781602,-38.83893637,ELK-9,COY_SIR_KIT_WOW,COY-ELK_ELK-SIR_ELK-KIT_ELK-WOW,COY-ELK-9_ELK-SIR-9_ELK-KIT-9_ELK-WOW-9,COY-9_SIR-9_KIT-9_WOW-9,0,inner
YAY,52.54010159,-78.35575402,-52.84782737,YAY-8,AMP_BAM_HAY_SAW_CAB,AMP-YAY_BAM-YAY_HAY-YAY_SAW-YAY_CAB-YAY,AMP-YAY-8_BAM-YAY-8_HAY-YAY-8_SAW-YAY-8_CAB-YAY-10,AMP-8_BAM-8_HAY-8_SAW-8_CAB-10,1,inner
CUP,-102.1497724,1.689936983,-56.48926237,CUP-4,BAR_FLU,BAR-CUP_CUP-FLU,BAR-CUP-4_CUP-FLU-4,BAR-4_FLU-4,0,inner
SKY,112.3883416,35.23947098,-28.36083737,SKY-2,FOX_IVY_SUN_TUB_TAG,FOX-SKY_IVY-SKY_SKY-SUN_SKY-TUB_SKY-TAG,FOX-SKY-2_IVY-SKY-2_SKY-SUN-2_SKY-TUB-2_SKY-TAG-2,FOX-2_IVY-2_SUN-2_TUB-2_TAG-2,0,outer
DUB,40.70018759,99.97916498,31.93446463,DUB-5_DUB-1,ARM_WAR_WET_ADO_TOY,ARM-DUB_DUB-WAR_DUB-WET_ADO-DUB_DUB-TOY,ARM-DUB-1_DUB-WAR-1_DUB-WET-1_DUB-WAR-5_ADO-DUB-5_DUB-TOY-5,ARM-1_WAR-1_WET-1_WAR-5_ADO-5_TOY-5,0,outer
HEX,-57.82588741,138.550331,-73.40293337,HEX-3,GUT_SIP_MAY_WAX,GUT-HEX_HEX-SIP_HEX-MAY_HEX-WAX,GUT-HEX-3_HEX-SIP-3_HEX-MAY-3_HEX-WAX-3,GUT-3_SIP-3_MAY-3_WAX-3,0,outer
EVE,30.91119559,-41.28148002,69.58921863,EVE-14,OLD_GIG_IRE_LIE_FAX,EVE-OLD_EVE-GIG_EVE-IRE_EVE-LIE_EVE-FAX,EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-LIE-14_EVE-FAX-14,OLD-14_GIG-14_IRE-14_LIE-14_FAX-11,0,outer
YAK,-44.92779141,-95.14453702,49.47698363,YAK-13_YAK-12,BUG_FIG_GOO_LAB_ZAP,BUG-YAK_FIG-YAK_GOO-YAK_LAB-YAK_YAK-ZAP,GOO-YAK-13_LAB-YAK-13_YAK-ZAP-13_BUG-YAK-12_FIG-YAK-12_GOO-YAK-12_LAB-YAK-12,GOO-13_LAB-13_ZAP-13_BUG-12_FIG-12_GOO-12_LAB-12,0,outer
WAX,-61.03240041,113.301845,-94.98505137,WAX-3,AIM_HEX_LID_MIX_SIP,AIM-WAX_HEX-WAX_LID-WAX_MIX-WAX_SIP-WAX,AIM-WAX-3_HEX-WAX-3_LID-WAX-3_MIX-WAX-3_SIP-WAX-3,AIM-3_HEX-3_LID-3_MIX-3_SIP-3,1,inner
ADO,11.85316059,92.98717298,38.38084263,ADO-5,DUB_BOA_TOY_WAR,ADO-DUB_ADO-BOA_ADO-TOY_ADO-WAR,ADO-DUB-5_ADO-BOA-5_ADO-TOY-5_ADO-WAR-5,DUB-5_BOA-5_TOY-5_WAR-5,0,inner
WAS,71.74941359,-81.86690602,19.97496263,WAS-11,KEG_PHI_ZOO,KEG-WAS_PHI-WAS_WAS-ZOO,KEG-WAS-11_PHI-WAS-11_WAS-ZOO-11,KEG-11_PHI-11_ZOO-11,0,outer
WAR,22.01100359,117.232289,23.27937763,WAR-1_WAR-5,DUB_ELF_GAL_ADO_BOA,DUB-WAR_ELF-WAR_GAL-WAR_ADO-WAR_BOA-WAR,DUB-WAR-1_ELF-WAR-1_GAL-WAR-1_DUB-WAR-5_ADO-WAR-5_BOA-WAR-5,DUB-1_ELF-1_GAL-1_DUB-5_ADO-5_BOA-5,0,outer
WIG,-83.42824041,-103.036941,-20.98122137,WIG-9,KEY_KIT_NOR_USE,KEY-WIG_KIT-WIG_NOR-WIG_USE-WIG,KEY-WIG-9_KIT-WIG-9_NOR-WIG-9_USE-WIG-9,KEY-9_KIT-9_NOR-9_USE-9,0,outer
CIS,85.32510359,11.66894898,-82.83059537,CIS-2,BAH_ORC_TAG_OFF_BAM,BAH-CIS_CIS-ORC_CIS-TAG_CIS-OFF_BAM-CIS,BAH-CIS-2_CIS-ORC-2_CIS-TAG-2_CIS-OFF-2_BAM-CIS-8,BAH-2_ORC-2_TAG-2_OFF-2_BAM-8,1,inner
ALL,-21.26114741,-138.6957,32.20581763,ALL-10,EGG_SAD_PIG_PRO,ALL-EGG_ALL-SAD_ALL-PIG_ALL-PRO,ALL-EGG-10_ALL-SAD-10_ALL-PIG-10_ALL-PRO-10,EGG-10_SAD-10_PIG-10_PRO-13,0,outer
RUM,-19.97606541,133.05074,-26.66302937,RUM-5_RUM-3,MAY_OIL_SIP_HOW_PIE,MAY-RUM_OIL-RUM_RUM-SIP_HOW-RUM_PIE-RUM,MAY-RUM-3_OIL-RUM-3_RUM-SIP-3_OIL-RUM-5_HOW-RUM-5_PIE-RUM-1,MAY-3_OIL-3_SIP-3_OIL-5_HOW-5_PIE-1,1,inner
KEG,83.77172959,-61.85164402,10.55548263,KEG-8_KEG-11,WHY_TAR_LUG_ODD_WAS,KEG-WHY_KEG-TAR_KEG-LUG_KEG-ODD_KEG-WAS,KEG-TAR-11_KEG-LUG-11_KEG-ODD-11_KEG-WAS-11_KEG-WHY-8_KEG-TAR-8_KEG-LUG-8,TAR-11_LUG-11_ODD-11_WAS-11_WHY-8_TAR-8_LUG-8,0,outer
WIN,97.42435959,-41.22449302,-65.29166837,WIN-8,ETA_HAY_JAR_PAY,ETA-WIN_HAY-WIN_JAR-WIN_PAY-WIN,ETA-WIN-8_HAY-WIN-8_JAR-WIN-8_PAY-WIN-8,ETA-8_HAY-8_JAR-8_PAY-8,0,outer
RUG,-19.93212741,-146.611042,5.949316628,RUG-10,DAD_FOR_PIG_WOW,DAD-RUG_FOR-RUG_PIG-RUG_RUG-WOW,DAD-RUG-10_FOR-RUG-10_PIG-RUG-10_RUG-WOW-10,DAD-10_FOR-10_PIG-10_WOW-10,0,inner
PLY,-25.05522041,53.31458298,49.84175063,PLY-6_PLY-5,JOB_REF_ERA_MOP,JOB-PLY_PLY-REF_ERA-PLY_MOP-PLY,JOB-PLY-5_PLY-REF-5_ERA-PLY-6_MOP-PLY-6,JOB-5_REF-5_ERA-6_MOP-6,0,inner
ALA,-74.19261141,120.025893,-24.32966137,ALA-3,AGO_INK_GUT,AGO-ALA_ALA-INK_ALA-GUT,AGO-ALA-3_ALA-INK-3_ALA-GUT-3,AGO-3_INK-3_GUT-3,0,outer
BRO,82.03459059,72.08309498,23.31367063,BRO-7,HIT_ARM,BRO-HIT_ARM-BRO,BRO-HIT-7_ARM-BRO-1,HIT-7_ARM-1,0,outer
KEY,-69.18783341,-117.131377,11.78622063,KEY-12_KEY-9,WOW_NOR_WIG_FIG_SAD,KEY-WOW_KEY-NOR_KEY-WIG_FIG-KEY_KEY-SAD,KEY-NOR-12_FIG-KEY-12_KEY-WOW-9_KEY-NOR-9_KEY-WIG-9_KEY-SAD-9,NOR-12_FIG-12_WOW-9_NOR-9_WIG-9_SAD-10,0,outer
TUB,107.6198766,63.81006798,-42.85213937,TUB-2,ASK_DUI_GUN_SKY_TAG,ASK-TUB_DUI-TUB_GUN-TUB_SKY-TUB_TAG-TUB,ASK-TUB-2_DUI-TUB-2_GUN-TUB-2_SKY-TUB-2_TAG-TUB-2,ASK-2_DUI-2_GUN-2_SKY-2_TAG-2,0,outer
ORC,101.1758146,38.13227498,-80.54947137,ORC-2,BOY_CIS,BOY-ORC_CIS-ORC,BOY-ORC-2_CIS-ORC-2,BOY-2_CIS-2,0,outer
USE,-66.40635841,-98.69556402,-51.81747737,USE-9,COP_ONO_TAT_WIG_NEW,COP-USE_ONO-USE_TAT-USE_USE-WIG_NEW-USE,COP-USE-9_ONO-USE-9_TAT-USE-9_USE-WIG-9_NEW-USE-10,COP-9_ONO-9_TAT-9_WIG-9_NEW-10,0,outer
TOY,37.08808359,78.05762498,53.34773463,TOY-7_TOY-5,ADO_DUB_JOB_NIL_EON,ADO-TOY_DUB-TOY_JOB-TOY_NIL-TOY_EON-TOY,ADO-TOY-5_DUB-TOY-5_JOB-TOY-5_NIL-TOY-5_NIL-TOY-7_EON-TOY-7,ADO-5_DUB-5_JOB-5_NIL-5_NIL-7_EON-7,0,outer
BAR,-107.2781254,-27.39621002,-61.13785137,BAR-9_BAR-4,CUP_FLU_DOG_SIR_ONO,BAR-CUP_BAR-FLU_BAR-DOG_BAR-SIR_BAR-ONO,BAR-CUP-4_BAR-FLU-4_BAR-DOG-4_BAR-DOG-9_BAR-SIR-9_BAR-ONO-9,CUP-4_FLU-4_DOG-4_DOG-9_SIR-9_ONO-9,0,outer
DUI,97.20427659,55.49964198,-20.27930937,DUI-2,HIT_TUB_SUN_ACE,DUI-HIT_DUI-TUB_DUI-SUN_ACE-DUI,DUI-HIT-2_DUI-TUB-2_DUI-SUN-2_ACE-DUI-7,HIT-2_TUB-2_SUN-2_ACE-7,0,inner
DIG,99.36351259,82.04294498,-25.19441537,DIG-2,NOM_HIT_JOY,DIG-NOM_DIG-HIT_DIG-JOY,DIG-NOM-2_DIG-HIT-2_DIG-JOY-2,NOM-2_HIT-2_JOY-1,0,outer
AIR,71.13112059,-32.43153802,43.73215663,AIR-11,GIG_ODD_MAC_FAX_FIX,AIR-GIG_AIR-ODD_AIR-MAC_AIR-FAX_AIR-FIX,AIR-GIG-11_AIR-ODD-11_AIR-MAC-11_AIR-FAX-11_AIR-FIX-11,GIG-11_ODD-11_MAC-11_FAX-11_FIX-11,0,outer
AIM,-85.39764441,95.01491398,-91.98091537,AIM-3,LID_EGO_WAX_MIX,AIM-LID_AIM-EGO_AIM-WAX_AIM-MIX,AIM-LID-3_AIM-EGO-3_AIM-WAX-3_AIM-MIX-3,LID-3_EGO-3_WAX-3_MIX-3,1,outer
ERA,13.73802359,14.67203198,62.12956063,ERA-6_ERA-14_ERA-7,PLY_AHI_IRE_YES_NIL,ERA-PLY_AHI-ERA_ERA-IRE_ERA-YES_ERA-NIL,ERA-IRE-14_AHI-ERA-7_ERA-IRE-7_ERA-YES-7_ERA-NIL-7_ERA-PLY-6,IRE-14_AHI-7_IRE-7_YES-7_NIL-7_PLY-6,0,inner
CAB,25.94835359,-122.829441,-37.65312837,CAB-10,AMP_ROB_OAK_GET_YAY,AMP-CAB_CAB-ROB_CAB-OAK_CAB-GET_CAB-YAY,AMP-CAB-10_CAB-ROB-10_CAB-OAK-10_CAB-GET-10_CAB-YAY-10,AMP-10_ROB-10_OAK-10_GET-10_YAY-8,1,inner
VAN,-112.5420554,21.71477298,-72.36783537,VAN-4,BOX_FLU_GYM_HUG_PAW,BOX-VAN_FLU-VAN_GYM-VAN_HUG-VAN_PAW-VAN,BOX-VAN-4_FLU-VAN-4_GYM-VAN-4_HUG-VAN-4_PAW-VAN-4,BOX-4_FLU-4_GYM-4_HUG-4_PAW-4,0,outer
BAM,73.08419059,-39.61716802,-83.34339637,BAM-8,BAH_JAR_YAY_HAY_CIS,BAH-BAM_BAM-JAR_BAM-YAY_BAM-HAY_BAM-CIS,BAH-BAM-8_BAM-JAR-8_BAM-YAY-8_BAM-HAY-8_BAM-CIS-8,BAH-8_JAR-8_YAY-8_HAY-8_CIS-2,1,inner
BAH,97.16048159,-14.53845802,-78.92810637,BAH-8_BAH-2,ETA_CIS_BOY_BAM,BAH-ETA_BAH-CIS_BAH-BOY_BAH-BAM,BAH-ETA-2_BAH-CIS-2_BAH-BOY-2_BAH-ETA-8_BAH-BAM-8,ETA-2_CIS-2_BOY-2_ETA-8_BAM-8,0,outer
HIP,-32.92354741,-153.773805,-17.57409037,HIP-10,FOR_SAD_WOW_NEW,FOR-HIP_HIP-SAD_HIP-WOW_HIP-NEW,FOR-HIP-10_HIP-SAD-10_HIP-WOW-10_HIP-NEW-10,FOR-10_SAD-10_WOW-10_NEW-10,0,outer
BIO,66.46786359,118.555503,-9.524659372,BIO-1,ARM_JOY_RAD,ARM-BIO_BIO-JOY_BIO-RAD,ARM-BIO-1_BIO-JOY-1_BIO-RAD-1,ARM-1_JOY-1_RAD-1,0,outer
FAX,52.93065359,-53.90876502,53.84225463,FAX-11,AIR_ZOO_LIE_EVE,AIR-FAX_FAX-ZOO_FAX-LIE_EVE-FAX,AIR-FAX-11_FAX-ZOO-11_FAX-LIE-11_EVE-FAX-14,AIR-11_ZOO-11_LIE-11_EVE-14,0,outer
HIT,96.86061759,65.50574698,4.395899628,HIT-7_HIT-2,DIG_DUI_SUN_BRO,DIG-HIT_DUI-HIT_HIT-SUN_BRO-HIT,DIG-HIT-2_DUI-HIT-2_HIT-SUN-2_HIT-SUN-7_BRO-HIT-7,DIG-2_DUI-2_SUN-2_SUN-7_BRO-7,0,outer
ONO,-88.90182941,-62.98485202,-63.50000837,ONO-9,AGE_BAR_SIR_USE_TAT,AGE-ONO_BAR-ONO_ONO-SIR_ONO-USE_ONO-TAT,AGE-ONO-9_BAR-ONO-9_ONO-SIR-9_ONO-USE-9_ONO-TAT-9,AGE-9_BAR-9_SIR-9_USE-9_TAT-9,1,outer
GYM,-102.0108504,48.01721398,-60.70668137,GYM-4_GYM-3,EGO_VAN_PAW_HUG,EGO-GYM_GYM-VAN_GYM-PAW_GYM-HUG,EGO-GYM-3_GYM-VAN-4_GYM-PAW-4_GYM-HUG-4,EGO-3_VAN-4_PAW-4_HUG-4,0,inner
GAS,98.01878059,-13.78822502,8.027349628,GAS-11,FIX_ODD_LUG_IVY_TUX,FIX-GAS_GAS-ODD_GAS-LUG_GAS-IVY_GAS-TUX,FIX-GAS-11_GAS-ODD-11_GAS-LUG-11_GAS-IVY-11_GAS-TUX-11,FIX-11_ODD-11_LUG-11_IVY-7_TUX-8,0,outer
POP,80.11344359,20.84592298,39.43647463,POP-7,EON_EYE_FIX_MAC_YES,EON-POP_EYE-POP_FIX-POP_MAC-POP_POP-YES,EON-POP-7_EYE-POP-7_FIX-POP-7_MAC-POP-7_POP-YES-7,EON-7_EYE-7_FIX-7_MAC-7_YES-7,0,outer
GAL,24.98754559,133.745892,-1.576939372,GAL-1,ELF_PIE_WAR_RAD,ELF-GAL_GAL-PIE_GAL-WAR_GAL-RAD,ELF-GAL-1_GAL-PIE-1_GAL-WAR-1_GAL-RAD-1,ELF-1_PIE-1_WAR-1_RAD-1,0,outer
FAN,-53.57925541,51.12708598,53.57610463,FAN-6,VOW_MOP_ZZZ_FUN,FAN-VOW_FAN-MOP_FAN-ZZZ_FAN-FUN,FAN-VOW-6_FAN-MOP-6_FAN-ZZZ-6_FAN-FUN-6,VOW-6_MOP-6_ZZZ-6_FUN-5,0,outer
SOY,-25.26962541,6.414220983,63.01992663,SOY-6,DUH_TRY_TAU_LAW,DUH-SOY_SOY-TRY_SOY-TAU_LAW-SOY,DUH-SOY-6_SOY-TRY-6_SOY-TAU-6_LAW-SOY-14,DUH-6_TRY-6_TAU-6_LAW-14,0,inner
EAR,47.71669559,-101.306211,24.42671963,EAR-10_EAR-11,MOO_SEX_PHI,EAR-MOO_EAR-SEX_EAR-PHI,EAR-PHI-11_EAR-MOO-10_EAR-SEX-10,PHI-11_MOO-10_SEX-10,0,inner
DAY,-94.73552341,29.94447198,-26.25327037,DAY-4,SAY_ZIG,DAY-SAY_DAY-ZIG,DAY-SAY-4_DAY-ZIG-4,SAY-4_ZIG-4,0,inner
DAD,25.22672259,-147.27426,0.517395628,DAD-10,GEL_FOR_RUG,DAD-GEL_DAD-FOR_DAD-RUG,DAD-GEL-10_DAD-FOR-10_DAD-RUG-10,GEL-10_FOR-10_RUG-10,0,inner
GOO,-41.85655141,-112.918897,27.08052363,GOO-13_GOO-12_GOO-10,SAD_BUG_YAK_ZAP,GOO-SAD_BUG-GOO_GOO-YAK_GOO-ZAP,GOO-SAD-10_GOO-YAK-13_GOO-ZAP-13_BUG-GOO-12_GOO-YAK-12,SAD-10_YAK-13_ZAP-13_BUG-12_YAK-12,0,inner
FRO,83.11559959,92.49394598,-76.93202537,FRO-1,RAW_WHO_ASK_OFF,FRO-RAW_FRO-WHO_ASK-FRO_FRO-OFF,FRO-RAW-1_FRO-WHO-1_ASK-FRO-2_FRO-OFF-1,RAW-1_WHO-1_ASK-2_OFF-2,0,outer
ICE,-101.6621224,2.311318983,18.75995663,ICE-6_ICE-4,BED_HAM_LAX,BED-ICE_HAM-ICE_ICE-LAX,BED-ICE-4_HAM-ICE-6_ICE-LAX-6,BED-4_HAM-6_LAX-6,0,outer
HOW,3.807477594,116.592725,4.278644628,HOW-5_HOW-1,ELF_BOA_RUM_SHY,ELF-HOW_BOA-HOW_HOW-RUM_HOW-SHY,ELF-HOW-1_BOA-HOW-5_HOW-RUM-5_HOW-SHY-5,ELF-1_BOA-5_RUM-5_SHY-5,0,inner
HOT,4.710215594,-98.76846102,58.92129363,HOT-13,PRO_PIG_OLD_LIE,HOT-PRO_HOT-PIG_HOT-OLD_HOT-LIE,HOT-PRO-13_HOT-PIG-13_HOT-OLD-13_HOT-LIE-13,PRO-13_PIG-13_OLD-13_LIE-13,0,outer
IRE,36.45626059,-3.166204017,68.58317463,IRE-14_IRE-7,AHI_ERA_MAC_EVE_GIG,AHI-IRE_ERA-IRE_IRE-MAC_EVE-IRE_GIG-IRE,ERA-IRE-14_EVE-IRE-14_GIG-IRE-14_AHI-IRE-7_ERA-IRE-7_IRE-MAC-7,ERA-14_EVE-14_GIG-14_AHI-7_ERA-7_MAC-7,0,outer
NAN,-56.65210441,24.70875698,41.61903863,NAN-6,ACT_DUH_HAM_ZZZ,ACT-NAN_DUH-NAN_HAM-NAN_NAN-ZZZ,ACT-NAN-6_DUH-NAN-6_HAM-NAN-6_NAN-ZZZ-6,ACT-6_DUH-6_HAM-6_ZZZ-6,0,inner
ART,-85.24824141,-58.83866602,26.52474063,ART-12,FIG_ASH_MAD_LAX,ART-FIG_ART-ASH_ART-MAD_ART-LAX,ART-FIG-12_ART-ASH-12_ART-MAD-12_ART-LAX-12,FIG-12_ASH-12_MAD-12_LAX-12,0,outer
HAY,78.44892959,-66.37617402,-66.96744137,HAY-8,BAM_JAR_WIN_YAY_SAW,BAM-HAY_HAY-JAR_HAY-WIN_HAY-YAY_HAY-SAW,BAM-HAY-8_HAY-JAR-8_HAY-WIN-8_HAY-YAY-8_HAY-SAW-8,BAM-8_JAR-8_WIN-8_YAY-8_SAW-8,1,outer
ARM,65.19910059,101.295225,14.24669263,ARM-1,BIO_WET_DUB_NOM_BRO,ARM-BIO_ARM-WET_ARM-DUB_ARM-NOM_ARM-BRO,ARM-BIO-1_ARM-WET-1_ARM-DUB-1_ARM-NOM-1_ARM-BRO-1,BIO-1_WET-1_DUB-1_NOM-1_BRO-7,0,outer
