Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
PIE-1,PIE,1,18.90968059,136.201273,-30.11467737,GAL_NIX_OVA_RUM,GAL-PIE_NIX-PIE_OVA-PIE_PIE-RUM,GAL-PIE-1_NIX-PIE-1_OVA-PIE-1_PIE-RUM-1,GAL-1_NIX-1_OVA-1_RUM-5,1,inner
PIG-13,PIG,13,5.820940594,-117.48782,33.97493563,ALL_MOO_HOT_PRO,ALL-PIG_MOO-PIG_HOT-PIG_PIG-PRO,ALL-PIG-10_MOO-PIG-10_HOT-PIG-13_PIG-PRO-13,ALL-10_MOO-10_HOT-13_PRO-13,0,inner
VOW-6,VOW,6,-65.23407541,67.63065498,28.89226863,DRY_GIN_NAN_WIZ,DRY-VOW_GIN-VOW_NAN-VOW_VOW-WIZ,DRY-VOW-5_GIN-VOW-6_NAN-VOW-6_VOW-WIZ-6,DRY-5_GIN-6_NAN-6_WIZ-4,0,inner
SEX-8,SEX,8,61.78807259,-114.597803,-21.04072737,AMP_PHI_SAW,AMP-SEX_PHI-SEX_SAW-SEX,AMP-SEX-10_AMP-SEX-8_PHI-SEX-8_SAW-SEX-8,AMP-10_AMP-8_PHI-8_SAW-8,0,inner
VOW-5,VOW,6,-62.43054341,69.62542098,26.85238563,DRY_GIN_NAN_WIZ,DRY-VOW_GIN-VOW_NAN-VOW_VOW-WIZ,DRY-VOW-5_GIN-VOW-6_NAN-VOW-6_VOW-WIZ-6,DRY-5_GIN-6_NAN-6_WIZ-4,0,inner
COY-12,COY,9,-80.29390641,-50.00527902,1.984625628,CHI_KIT_ART,CHI-COY_COY-KIT_ART-COY,ART-COY-12_CHI-COY-9_COY-KIT-9,ART-12_CHI-9_KIT-9,0,inner
AHI-7,AHI,7,39.02183059,34.45504998,64.71688063,IRE_EON_JUG,AHI-IRE_AHI-EON_AHI-JUG,AHI-IRE-7_AHI-EON-7_AHI-JUG-7,IRE-7_EON-7_JUG-6,0,outer
TRY-6,TRY,6,-39.11595341,-19.65037802,71.77933563,DUH_SOY_TAU_LAM,DUH-TRY_SOY-TRY_TAU-TRY_LAM-TRY,DUH-TRY-6_SOY-TRY-6_TAU-TRY-6_LAM-TRY-12,DUH-6_SOY-6_TAU-6_LAM-12,0,outer
DUB-5,DUB,5,40.70018759,99.97916498,31.93446463,ARM_WAR_TOY,ARM-DUB_DUB-WAR_DUB-TOY,ARM-DUB-1_DUB-WAR-1_DUB-WAR-5_DUB-TOY-5,ARM-1_WAR-1_WAR-5_TOY-5,0,outer
EGG-10,EGG,10,4.830568594,-149.573482,21.92542263,ALL_DAD_FOR,ALL-EGG_DAD-EGG_EGG-FOR,ALL-EGG-10_DAD-EGG-10_EGG-FOR-10,ALL-10_DAD-10_FOR-10,0,outer
DUB-1,DUB,5,43.10971859,102.496384,29.54441263,ARM_WAR_TOY,ARM-DUB_DUB-WAR_DUB-TOY,ARM-DUB-1_DUB-WAR-1_DUB-WAR-5_DUB-TOY-5,ARM-1_WAR-1_WAR-5_TOY-5,0,outer
BAR-4,BAR,9,-107.2781254,-27.39621002,-61.13785137,FLU_DOG,BAR-FLU_BAR-DOG,BAR-FLU-4_BAR-DOG-4_BAR-DOG-9,FLU-4_DOG-4_DOG-9,0,outer
FIX-11,FIX,7,74.09911959,-9.163696017,23.39753763,EYE_MAC_ODD_GAS,EYE-FIX_FIX-MAC_FIX-ODD_FIX-GAS,FIX-MAC-11_FIX-ODD-11_FIX-GAS-11_EYE-FIX-7_FIX-MAC-7,MAC-11_ODD-11_GAS-11_EYE-7_MAC-7,0,inner
VAN-4,VAN,4,-112.5420554,21.71477298,-72.36783537,BOX_FLU_GYM,BOX-VAN_FLU-VAN_GYM-VAN,BOX-VAN-4_FLU-VAN-4_GYM-VAN-4,BOX-4_FLU-4_GYM-4,0,outer
FLY-3,FLY,5,-84.06863141,96.82086198,-1.491527372,ALA_TAX_DRY,ALA-FLY_FLY-TAX_DRY-FLY,ALA-FLY-3_FLY-TAX-3_DRY-FLY-5,ALA-3_TAX-3_DRY-5,0,outer
FLY-5,FLY,5,-82.18924841,94.36766498,1.048107628,ALA_TAX_DRY,ALA-FLY_FLY-TAX_DRY-FLY,ALA-FLY-3_FLY-TAX-3_DRY-FLY-5,ALA-3_TAX-3_DRY-5,0,outer
OFF-2,OFF,2,79.07137459,60.63561298,-81.79092937,CIS_GUN_ORC_FRO_WHO,CIS-OFF_GUN-OFF_OFF-ORC_FRO-OFF_OFF-WHO,CIS-OFF-2_GUN-OFF-2_OFF-ORC-2_FRO-OFF-1_OFF-WHO-2,CIS-2_GUN-2_ORC-2_FRO-1_WHO-1,1,inner
YES-7,YES,7,54.23545259,26.39750798,41.98318563,ACE_WET_GIG,ACE-YES_WET-YES_GIG-YES,ACE-YES-7_WET-YES-7_GIG-YES-14,ACE-7_WET-7_GIG-14,0,inner
ASK-2,ASK,2,100.5588706,65.11660398,-67.54861437,ORC_TUB_FRO,ASK-ORC_ASK-TUB_ASK-FRO,ASK-ORC-2_ASK-TUB-2_ASK-FRO-2,ORC-2_TUB-2_FRO-1,0,outer
INK-3,INK,3,-53.10752641,133.549724,-22.66342337,ALA_MAY_OIL_SHY,ALA-INK_INK-MAY_INK-OIL_INK-SHY,ALA-INK-3_INK-MAY-3_INK-OIL-3_INK-SHY-3,ALA-3_MAY-3_OIL-3_SHY-5,0,outer
ICE-6,ICE,6,-101.6621224,2.311318983,18.75995663,MAD,ICE-MAD,ICE-MAD-6,MAD-12,0,outer
