Node_with_Module,Node,Module,X,Y,Z,Neighbor_Nodes,Bars,Bars_with_Module_Nums,Nodes_with_Module_Nums
NIL-5,NIL,7,418.942362,56.658565,128.584766,ADO_AHI_EON_ERA_JOB_JUG_TOY_WET_YES_PLY,ADO-NIL_AHI-NIL_EON-NIL_ERA-NIL_JOB-NIL_JUG-NIL_NIL-TOY_NIL-WET_NIL-YES_NIL-PLY,ADO-NIL-5_JOB-NIL-5_JUG-NIL-5_NIL-TOY-5_NIL-PLY-5_AHI-NIL-7_EON-NIL-7_ERA-NIL-7_NIL-TOY-7_NIL-WET-7_NIL-YES-7,ADO-5_JOB-5_JUG-5_TOY-5_PLY-5_AHI-7_EON-7_ERA-7_TOY-7_WET-7_YES-7
TOY-5,TOY,7,431.030738,80.367242,129.464582,ADO_DUB_EON_JOB_NIL_WET,ADO-TOY_DUB-TOY_EON-TOY_JOB-TOY_NIL-TOY_TOY-WET,ADO-TOY-5_DUB-TOY-5_JOB-TOY-5_NIL-TOY-5_EON-TOY-7_NIL-TOY-7_TOY-WET-7,ADO-5_DUB-5_JOB-5_NIL-5_EON-7_NIL-7_WET-7
ADO-5,ADO,5,408.397779,92.454329,116.19127,JOB_DUB_BOA_WET_REF_TOY_NIL_NAY_WAR_HOW_ELF_PLY,ADO-JOB_ADO-DUB_ADO-BOA_ADO-WET_ADO-REF_ADO-TOY_ADO-NIL_ADO-NAY_ADO-WAR_ADO-HOW_ADO-ELF_ADO-PLY,ADO-JOB-5_ADO-DUB-5_ADO-BOA-5_ADO-REF-5_ADO-TOY-5_ADO-NIL-5_ADO-NAY-5_ADO-WAR-5_ADO-HOW-5_ADO-PLY-5_ADO-WET-5_ADO-ELF-5,JOB-5_DUB-5_BOA-5_REF-5_TOY-5_NIL-5_NAY-5_WAR-5_HOW-5_PLY-5_WET-7_ELF-1
TUX-2,TUX,8,504.402827,-11.76777,54.618649,ETA_FOX_GAS_IVY_LUG_PAY,ETA-TUX_FOX-TUX_GAS-TUX_IVY-TUX_LUG-TUX_PAY-TUX,ETA-TUX-2_FOX-TUX-2_IVY-TUX-2_ETA-TUX-8_LUG-TUX-8_PAY-TUX-8_GAS-TUX-11,ETA-2_FOX-2_IVY-2_ETA-8_LUG-8_PAY-8_GAS-11
LAM-12,LAM,12,347.03263,-46.871029,139.743421,ACT_ASH_BUG_LAB_TAU_TRY,ACT-LAM_ASH-LAM_BUG-LAM_LAB-LAM_LAM-TAU_LAM-TRY,ACT-LAM-12_ASH-LAM-12_BUG-LAM-12_LAB-LAM-12_LAM-TAU-12_LAM-TRY-12,ACT-12_ASH-12_BUG-12_LAB-12_TAU-6_TRY-6
WET-7,WET,7,452.282481,70.999615,108.797264,ACE_ADO_ARM_BRO_DUB_ELF_EON_NIL_NOM_TOY_YES,ACE-WET_ADO-WET_ARM-WET_BRO-WET_DUB-WET_ELF-WET_EON-WET_NIL-WET_NOM-WET_TOY-WET_WET-YES,ARM-WET-1_DUB-WET-1_ELF-WET-1_NOM-WET-1_ACE-WET-7_BRO-WET-7_EON-WET-7_NIL-WET-7_NOM-WET-7_TOY-WET-7_WET-YES-7_ADO-WET-5,ARM-1_DUB-1_ELF-1_NOM-1_ACE-7_BRO-7_EON-7_NIL-7_NOM-7_TOY-7_YES-7_ADO-5
OVA-1,OVA,1,434.10143,148.248363,33.23452,LEG_NIX_PIE_RAD_SPY,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD_OVA-SPY,LEG-OVA-1_NIX-OVA-1_OVA-PIE-1_OVA-RAD-1_OVA-SPY-1,LEG-1_NIX-1_PIE-1_RAD-1_SPY-1
NIL-7,NIL,7,421.770942,54.195124,129.974224,ADO_AHI_EON_ERA_JOB_JUG_TOY_WET_YES_PLY,ADO-NIL_AHI-NIL_EON-NIL_ERA-NIL_JOB-NIL_JUG-NIL_NIL-TOY_NIL-WET_NIL-YES_NIL-PLY,ADO-NIL-5_JOB-NIL-5_JUG-NIL-5_NIL-TOY-5_NIL-PLY-5_AHI-NIL-7_EON-NIL-7_ERA-NIL-7_NIL-TOY-7_NIL-WET-7_NIL-YES-7,ADO-5_JOB-5_JUG-5_TOY-5_PLY-5_AHI-7_EON-7_ERA-7_TOY-7_WET-7_YES-7
WET-1,WET,7,451.05956,75.718157,104.425526,ACE_ADO_ARM_BRO_DUB_ELF_EON_NIL_NOM_TOY_YES,ACE-WET_ADO-WET_ARM-WET_BRO-WET_DUB-WET_ELF-WET_EON-WET_NIL-WET_NOM-WET_TOY-WET_WET-YES,ARM-WET-1_DUB-WET-1_ELF-WET-1_NOM-WET-1_ACE-WET-7_BRO-WET-7_EON-WET-7_NIL-WET-7_NOM-WET-7_TOY-WET-7_WET-YES-7_ADO-WET-5,ARM-1_DUB-1_ELF-1_NOM-1_ACE-7_BRO-7_EON-7_NIL-7_NOM-7_TOY-7_YES-7_ADO-5
POP-7,POP,7,476.658062,20.313079,117.246902,ACE_EON_EYE_FIX_MAC_YES,ACE-POP_EON-POP_EYE-POP_FIX-POP_MAC-POP_POP-YES,ACE-POP-7_EON-POP-7_EYE-POP-7_FIX-POP-7_MAC-POP-7_POP-YES-7,ACE-7_EON-7_EYE-7_FIX-7_MAC-7_YES-7
LAX-12,LAX,6,319.334226,-17.508949,104.147642,ACT_ART_ASH_BED_BUG_COY_GIN_HAM_ICE_MAD_NAN,ACT-LAX_ART-LAX_ASH-LAX_BED-LAX_BUG-LAX_COY-LAX_GIN-LAX_HAM-LAX_ICE-LAX_LAX-MAD_LAX-NAN,ACT-LAX-12_ART-LAX-12_ASH-LAX-12_BED-LAX-12_BUG-LAX-12_COY-LAX-12_LAX-MAD-12_ACT-LAX-6_GIN-LAX-6_HAM-LAX-6_ICE-LAX-6_LAX-NAN-6,ACT-12_ART-12_ASH-12_BED-12_BUG-12_COY-12_MAD-12_ACT-6_GIN-6_HAM-6_ICE-6_NAN-6
GEL-10,GEL,10,449.629682,-136.5856,85.706055,DAD_EAR_SEX_PHI_ROB_MOO,DAD-GEL_EAR-GEL_GEL-SEX_GEL-PHI_GEL-ROB_GEL-MOO,DAD-GEL-10_EAR-GEL-10_GEL-SEX-10_GEL-ROB-10_GEL-MOO-10_GEL-PHI-10,DAD-10_EAR-10_SEX-10_ROB-10_MOO-10_PHI-8
PAW-4,PAW,4,283.189914,17.891034,40.836923,BED_CUP_DAY_DOG_GYM_SAY_ZIG_VAN,BED-PAW_CUP-PAW_DAY-PAW_DOG-PAW_GYM-PAW_PAW-SAY_PAW-ZIG_PAW-VAN,BED-PAW-4_CUP-PAW-4_DAY-PAW-4_DOG-PAW-4_GYM-PAW-4_PAW-SAY-4_PAW-ZIG-4_PAW-VAN-4,BED-4_CUP-4_DAY-4_DOG-4_GYM-4_SAY-4_ZIG-4_VAN-4
ACE-7,ACE,7,479.498928,41.257824,96.835889,WET_BRO_EYE_DUI_IVY_FIX_YES_SUN_POP_EON_NOM_HIT,ACE-WET_ACE-BRO_ACE-EYE_ACE-DUI_ACE-IVY_ACE-FIX_ACE-YES_ACE-SUN_ACE-POP_ACE-EON_ACE-NOM_ACE-HIT,ACE-WET-7_ACE-BRO-7_ACE-EYE-7_ACE-IVY-7_ACE-FIX-7_ACE-YES-7_ACE-SUN-7_ACE-POP-7_ACE-EON-7_ACE-NOM-7_ACE-HIT-7_ACE-DUI-7,WET-7_BRO-7_EYE-7_IVY-7_FIX-7_YES-7_SUN-7_POP-7_EON-7_NOM-7_HIT-7_DUI-2
JUG-6,JUG,6,391.11113,37.389047,148.863431,AHI_ERA_JOB_PLY_RIB_NIL_SOY_MOP,AHI-JUG_ERA-JUG_JOB-JUG_JUG-PLY_JUG-RIB_JUG-NIL_JUG-SOY_JUG-MOP,JOB-JUG-5_JUG-PLY-5_JUG-NIL-5_ERA-JUG-6_JUG-PLY-6_JUG-RIB-6_JUG-SOY-6_JUG-MOP-6_AHI-JUG-7,JOB-5_PLY-5_NIL-5_ERA-6_PLY-6_RIB-6_SOY-6_MOP-6_AHI-7
PLY-5,PLY,6,374.292929,54.776505,125.612295,ADO_ERA_FAN_FUN_JOB_JUG_MOP_NAN_NAY_NIL_SOY_REF_VOW,ADO-PLY_ERA-PLY_FAN-PLY_FUN-PLY_JOB-PLY_JUG-PLY_MOP-PLY_NAN-PLY_NAY-PLY_NIL-PLY_PLY-SOY_PLY-REF_PLY-VOW,ADO-PLY-5_FUN-PLY-5_JOB-PLY-5_JUG-PLY-5_NAY-PLY-5_NIL-PLY-5_PLY-REF-5_PLY-VOW-5_ERA-PLY-6_FAN-PLY-6_JUG-PLY-6_MOP-PLY-6_NAN-PLY-6_PLY-SOY-6_PLY-VOW-6,ADO-5_FUN-5_JOB-5_JUG-5_NAY-5_NIL-5_REF-5_VOW-5_ERA-6_FAN-6_JUG-6_MOP-6_NAN-6_SOY-6_VOW-6
OLD-14,OLD,14,395.733437,-61.392854,149.791358,EVE_FOG_HOT_LAB_LAW_LIE_TAU_ZAP,EVE-OLD_FOG-OLD_HOT-OLD_LAB-OLD_LAW-OLD_LIE-OLD_OLD-TAU_OLD-ZAP,HOT-OLD-13_LAB-OLD-13_LIE-OLD-13_OLD-TAU-13_OLD-ZAP-13_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14_LIE-OLD-14_OLD-TAU-14,HOT-13_LAB-13_LIE-13_TAU-13_ZAP-13_EVE-14_FOG-14_LAW-14_LIE-14_TAU-14
GIN-4,GIN,6,306.754336,30.978472,91.749911,BED_DAY_WIZ_SAY_NAN_LAX_TAX_ICE_ZZZ_VOW_HAM,BED-GIN_DAY-GIN_GIN-WIZ_GIN-SAY_GIN-NAN_GIN-LAX_GIN-TAX_GIN-ICE_GIN-ZZZ_GIN-VOW_GIN-HAM,BED-GIN-4_DAY-GIN-4_GIN-WIZ-4_GIN-SAY-4_GIN-TAX-4_GIN-ICE-4_GIN-NAN-6_GIN-LAX-6_GIN-ICE-6_GIN-ZZZ-6_GIN-VOW-6_GIN-HAM-6,BED-4_DAY-4_WIZ-4_SAY-4_TAX-4_ICE-4_NAN-6_LAX-6_ICE-6_ZZZ-6_VOW-6_HAM-6
GIN-6,GIN,6,306.524701,30.926223,95.514114,BED_DAY_WIZ_SAY_NAN_LAX_TAX_ICE_ZZZ_VOW_HAM,BED-GIN_DAY-GIN_GIN-WIZ_GIN-SAY_GIN-NAN_GIN-LAX_GIN-TAX_GIN-ICE_GIN-ZZZ_GIN-VOW_GIN-HAM,BED-GIN-4_DAY-GIN-4_GIN-WIZ-4_GIN-SAY-4_GIN-TAX-4_GIN-ICE-4_GIN-NAN-6_GIN-LAX-6_GIN-ICE-6_GIN-ZZZ-6_GIN-VOW-6_GIN-HAM-6,BED-4_DAY-4_WIZ-4_SAY-4_TAX-4_ICE-4_NAN-6_LAX-6_ICE-6_ZZZ-6_VOW-6_HAM-6
DRY-5,DRY,5,339.586595,98.988624,103.596917,OIL_VOW_REF_SHY_FLY_FUN,DRY-OIL_DRY-VOW_DRY-REF_DRY-SHY_DRY-FLY_DRY-FUN,DRY-OIL-5_DRY-VOW-5_DRY-REF-5_DRY-SHY-5_DRY-FLY-5_DRY-FUN-5,OIL-5_VOW-5_REF-5_SHY-5_FLY-5_FUN-5
LID-3,LID,3,321.247751,65.59649,-21.844389,AIM_BOX_EGO_GYM_HUG_MOM_WAX,AIM-LID_BOX-LID_EGO-LID_GYM-LID_HUG-LID_LID-MOM_LID-WAX,AIM-LID-3_EGO-LID-3_GYM-LID-3_LID-MOM-3_LID-WAX-3_BOX-LID-4_HUG-LID-4,AIM-3_EGO-3_GYM-3_MOM-3_WAX-3_BOX-4_HUG-4
WOW-9,WOW,9,337.093372,-125.126968,57.807169,COP_ELK_GET_GOO_HIP_KEY_NEW_NOR_RUG_SAD_USE_WIG,COP-WOW_ELK-WOW_GET-WOW_GOO-WOW_HIP-WOW_KEY-WOW_NEW-WOW_NOR-WOW_RUG-WOW_SAD-WOW_USE-WOW_WIG-WOW,COP-WOW-10_GET-WOW-10_GOO-WOW-10_HIP-WOW-10_NEW-WOW-10_RUG-WOW-10_SAD-WOW-10_COP-WOW-9_ELK-WOW-9_KEY-WOW-9_NOR-WOW-9_USE-WOW-9_WIG-WOW-9,COP-10_GET-10_GOO-10_HIP-10_NEW-10_RUG-10_SAD-10_COP-9_ELK-9_KEY-9_NOR-9_USE-9_WIG-9
REF-5,REF,5,367.9058,97.221457,103.739432,ADO_BOA_DRY_FUN_HOW_NAY_OIL_PLY_RUM_VOW_SHY,ADO-REF_BOA-REF_DRY-REF_FUN-REF_HOW-REF_NAY-REF_OIL-REF_PLY-REF_REF-RUM_REF-VOW_REF-SHY,ADO-REF-5_BOA-REF-5_DRY-REF-5_FUN-REF-5_HOW-REF-5_NAY-REF-5_OIL-REF-5_PLY-REF-5_REF-RUM-5_REF-VOW-5_REF-SHY-5,ADO-5_BOA-5_DRY-5_FUN-5_HOW-5_NAY-5_OIL-5_PLY-5_RUM-5_VOW-5_SHY-5
PIG-10,PIG,13,402.785983,-121.757008,110.420454,ALL_DAD_EAR_EGG_GOO_HOT_JAM_LIE_MOO_RUG_ZAP_PRO,ALL-PIG_DAD-PIG_EAR-PIG_EGG-PIG_GOO-PIG_HOT-PIG_JAM-PIG_LIE-PIG_MOO-PIG_PIG-RUG_PIG-ZAP_PIG-PRO,ALL-PIG-10_DAD-PIG-10_EAR-PIG-10_EGG-PIG-10_GOO-PIG-10_MOO-PIG-10_PIG-RUG-10_GOO-PIG-13_HOT-PIG-13_JAM-PIG-13_LIE-PIG-13_PIG-ZAP-13_PIG-PRO-13,ALL-10_DAD-10_EAR-10_EGG-10_GOO-10_MOO-10_RUG-10_GOO-13_HOT-13_JAM-13_LIE-13_ZAP-13_PRO-13
JAM-11,JAM,13,428.478523,-102.989003,126.770109,EAR_HOT_ZOO_PIG_LIE_MOO,EAR-JAM_HOT-JAM_JAM-ZOO_JAM-PIG_JAM-LIE_JAM-MOO,EAR-JAM-11_JAM-ZOO-11_JAM-LIE-11_HOT-JAM-13_JAM-PIG-13_JAM-LIE-13_JAM-MOO-13,EAR-11_ZOO-11_LIE-11_HOT-13_PIG-13_LIE-13_MOO-10
SAD-10,SAD,10,350.237835,-143.520438,88.892099,ALL_GOO_HIP_KEY_RUG_WOW,ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_RUG-SAD_SAD-WOW,ALL-SAD-10_GOO-SAD-10_HIP-SAD-10_RUG-SAD-10_SAD-WOW-10_KEY-SAD-9,ALL-10_GOO-10_HIP-10_RUG-10_WOW-10_KEY-9
SHY-5,SHY,5,367.623999,125.44389,85.701709,BOA_DRY_FEW_HOW_INK_OIL_REF_RUM,BOA-SHY_DRY-SHY_FEW-SHY_HOW-SHY_INK-SHY_OIL-SHY_REF-SHY_RUM-SHY,BOA-SHY-5_DRY-SHY-5_HOW-SHY-5_OIL-SHY-5_REF-SHY-5_RUM-SHY-5_INK-SHY-3,BOA-5_DRY-5_HOW-5_OIL-5_REF-5_RUM-5_INK-3
KEY-9,KEY,9,326.904063,-117.92426,85.630867,FIG_GOO_WOW_NOR_SAD_WIG,FIG-KEY_GOO-KEY_KEY-WOW_KEY-NOR_KEY-SAD_KEY-WIG,FIG-KEY-12_GOO-KEY-12_KEY-NOR-12_KEY-WOW-9_KEY-NOR-9_KEY-WIG-9_KEY-SAD-9,FIG-12_GOO-12_NOR-12_WOW-9_NOR-9_WIG-9_SAD-10
KIT-9,KIT,9,302.84319,-69.094233,57.822463,AGE_ART_CHI_COY_ELK_NOR_WIG_ONO,AGE-KIT_ART-KIT_CHI-KIT_COY-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO,AGE-KIT-9_CHI-KIT-9_COY-KIT-9_ELK-KIT-9_KIT-NOR-9_KIT-WIG-9_KIT-ONO-9_ART-KIT-12,AGE-9_CHI-9_COY-9_ELK-9_NOR-9_WIG-9_ONO-9_ART-12
IVY-2,IVY,7,491.136581,12.58051,61.733248,ACE_DUI_ETA_EYE_FIX_FOX_GAS_TUX_SUN_SKY_LUG_TAG,ACE-IVY_DUI-IVY_ETA-IVY_EYE-IVY_FIX-IVY_FOX-IVY_GAS-IVY_IVY-TUX_IVY-SUN_IVY-SKY_IVY-LUG_IVY-TAG,DUI-IVY-2_ETA-IVY-2_FOX-IVY-2_IVY-TUX-2_IVY-SUN-2_IVY-SKY-2_IVY-TAG-2_ACE-IVY-7_EYE-IVY-7_FIX-IVY-7_IVY-SUN-7_GAS-IVY-11_IVY-LUG-7,DUI-2_ETA-2_FOX-2_TUX-2_SUN-2_SKY-2_TAG-2_ACE-7_EYE-7_FIX-7_SUN-7_GAS-11_LUG-8
BOX-4,BOX,4,294.166316,45.111266,-11.439247,HUG_GYM_LID_EGO_VAN,BOX-HUG_BOX-GYM_BOX-LID_BOX-EGO_BOX-VAN,BOX-HUG-4_BOX-GYM-4_BOX-VAN-4_BOX-LID-4_BOX-EGO-4,HUG-4_GYM-4_VAN-4_LID-3_EGO-3
MAY-3,MAY,3,353.64725,146.537519,31.529394,GUT_HEX_INK_RUM_SIP,GUT-MAY_HEX-MAY_INK-MAY_MAY-RUM_MAY-SIP,GUT-MAY-3_HEX-MAY-3_INK-MAY-3_MAY-RUM-3_MAY-SIP-3,GUT-3_HEX-3_INK-3_RUM-3_SIP-3
FOR-10,FOR,10,394.685312,-159.931355,66.117883,DAD_EGG_OAK_GET_RUG_HIP,DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DAD-FOR-10_EGG-FOR-10_FOR-OAK-10_FOR-GET-10_FOR-RUG-10_FOR-HIP-10,DAD-10_EGG-10_OAK-10_GET-10_RUG-10_HIP-10
ODD-11,ODD,11,482.522449,-37.322303,100.338779,AIR_COW_FIX_GAS_KEG_LUG,AIR-ODD_COW-ODD_FIX-ODD_GAS-ODD_KEG-ODD_LUG-ODD,AIR-ODD-11_COW-ODD-11_FIX-ODD-11_GAS-ODD-11_KEG-ODD-11_LUG-ODD-11,AIR-11_COW-11_FIX-11_GAS-11_KEG-11_LUG-11
EVE-14,EVE,14,427.455814,-41.814324,147.399646,LAW_FAX_OLD_GIG_IRE_LIE,EVE-LAW_EVE-FAX_EVE-OLD_EVE-GIG_EVE-IRE_EVE-LIE,EVE-LAW-14_EVE-OLD-14_EVE-GIG-14_EVE-IRE-14_EVE-LIE-14_EVE-FAX-14,LAW-14_OLD-14_GIG-14_IRE-14_LIE-14_FAX-11
OAR-3,OAR,3,293.990962,86.886344,35.374324,AGO_EGO_FLY_GYM_MIX_MOM_TAX_ZIG,AGO-OAR_EGO-OAR_FLY-OAR_GYM-OAR_MIX-OAR_MOM-OAR_OAR-TAX_OAR-ZIG,AGO-OAR-3_EGO-OAR-3_FLY-OAR-3_GYM-OAR-3_MIX-OAR-3_MOM-OAR-3_OAR-TAX-3_OAR-ZIG-3,AGO-3_EGO-3_FLY-3_GYM-3_MIX-3_MOM-3_TAX-3_ZIG-4
JAR-8,JAR,8,480.555133,-54.722874,31.370198,BAM_ETA_HAY_TAR_WIN_PAY_LUG_YAY_WHY_SAW,BAM-JAR_ETA-JAR_HAY-JAR_JAR-TAR_JAR-WIN_JAR-PAY_JAR-LUG_JAR-YAY_JAR-WHY_JAR-SAW,BAM-JAR-8_ETA-JAR-8_HAY-JAR-8_JAR-TAR-8_JAR-WIN-8_JAR-PAY-8_JAR-LUG-8_JAR-YAY-8_JAR-WHY-8_JAR-SAW-8,BAM-8_ETA-8_HAY-8_TAR-8_WIN-8_PAY-8_LUG-8_YAY-8_WHY-8_SAW-8
AGO-3,AGO,3,318.953762,99.325936,45.782051,ALA_MIX_OAR_TAX_MOM_FLY_OIL_GUT,AGO-ALA_AGO-MIX_AGO-OAR_AGO-TAX_AGO-MOM_AGO-FLY_AGO-OIL_AGO-GUT,AGO-ALA-3_AGO-MIX-3_AGO-OAR-3_AGO-TAX-3_AGO-MOM-3_AGO-FLY-3_AGO-OIL-3_AGO-GUT-3,ALA-3_MIX-3_OAR-3_TAX-3_MOM-3_FLY-3_OIL-3_GUT-3
ETA-2,ETA,8,494.365812,-11.030214,27.144032,BAH_BAM_BOY_CIS_TUX_LUG_IVY_FOX_PAY_TAG_JAR_WIN,BAH-ETA_BAM-ETA_BOY-ETA_CIS-ETA_ETA-TUX_ETA-LUG_ETA-IVY_ETA-FOX_ETA-PAY_ETA-TAG_ETA-JAR_ETA-WIN,BAH-ETA-2_BOY-ETA-2_CIS-ETA-2_ETA-TUX-2_ETA-IVY-2_ETA-FOX-2_ETA-TAG-2_BAH-ETA-8_BAM-ETA-8_ETA-TUX-8_ETA-LUG-8_ETA-PAY-8_ETA-JAR-8_ETA-WIN-8,BAH-2_BOY-2_CIS-2_TUX-2_IVY-2_FOX-2_TAG-2_BAH-8_BAM-8_TUX-8_LUG-8_PAY-8_JAR-8_WIN-8
GAS-11,GAS,11,494.563399,-14.321069,85.837777,EYE_FIX_IVY_ODD_LUG_TUX,EYE-GAS_FIX-GAS_GAS-IVY_GAS-ODD_GAS-LUG_GAS-TUX,FIX-GAS-11_GAS-ODD-11_GAS-LUG-11_EYE-GAS-7_GAS-IVY-11_GAS-TUX-11,FIX-11_ODD-11_LUG-11_EYE-7_IVY-7_TUX-8
