Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
TAX,-96.35106441,69.70448498,-14.31714737,TAX-4_TAX-3,DAY_FLY_MOM_WIZ,DAY-TAX_FLY-TAX_MOM-TAX_TAX-WIZ,FLY-TAX-3_MOM-TAX-3_DAY-TAX-4_TAX-WIZ-4,FLY-3_MOM-3_DAY-4_WIZ-4,0
PIE,18.90968059,136.201273,-30.11467737,PIE-1,NIX_OVA_RAD_RUM,NIX-PIE_OVA-PIE_PIE-RAD_PIE-RUM,NIX-PIE-1_OVA-PIE-1_PIE-RAD-1_PIE-RUM-1,NIX-1_OVA-1_RAD-1_RUM-5,1
SAD,-46.30678341,-142.987594,11.08167163,SAD-10,ALL_HIP_RUG,ALL-SAD_HIP-SAD_RUG-SAD,ALL-SAD-10_HIP-SAD-10_RUG-SAD-10,ALL-10_HIP-10_RUG-10,0
RAW,76.51529459,115.720687,-61.04676337,RAW-1,FRO_GUN_LEG_SPY_WHO,FRO-RAW_GUN-RAW_LEG-RAW_RAW-SPY_RAW-WHO,FRO-RAW-1_GUN-RAW-1_LEG-RAW-1_RAW-SPY-1_RAW-WHO-1,FRO-1_GUN-1_LEG-1_SPY-1_WHO-1,0
SAY,-108.8266474,31.44797198,-6.289134372,SAY-4,BED_GIN_ICE_PAW_WIZ,BED-SAY_GIN-SAY_ICE-SAY_PAW-SAY_SAY-WIZ,BED-SAY-4_GIN-SAY-4_ICE-SAY-4_PAW-SAY-4_SAY-WIZ-4,BED-4_GIN-4_ICE-4_PAW-4_WIZ-4,0
TAG,101.8871626,36.89463698,-54.28216537,TAG-2,ASK_BOY_CIS_OFF_ORC,ASK-TAG_BOY-TAG_CIS-TAG_OFF-TAG_ORC-TAG,ASK-TAG-2_BOY-TAG-2_CIS-TAG-2_OFF-TAG-2_ORC-TAG-2,ASK-2_BOY-2_CIS-2_OFF-2_ORC-2,0
DRY,-56.95802341,99.52146798,25.78648963,DRY-5,SHY_FLY_FUN,DRY-SHY_DRY-FLY_DRY-FUN,DRY-SHY-5_DRY-FLY-5_DRY-FUN-5,SHY-5_FLY-5_FUN-5,0
RIB,0.777001594,-2.205857017,78.78930963,RIB-6_RIB-14,FOG_IRE_LAW,FOG-RIB_IRE-RIB_LAW-RIB,FOG-RIB-14_IRE-RIB-14_LAW-RIB-14_FOG-RIB-6,FOG-14_IRE-14_LAW-14_FOG-6,0
TUX,108.4933236,-15.46935902,-22.75135137,TUX-2_TUX-8,FOX_GAS_IVY_LUG_PAY,FOX-TUX_GAS-TUX_IVY-TUX_LUG-TUX_PAY-TUX,FOX-TUX-2_IVY-TUX-2_LUG-TUX-8_PAY-TUX-8_GAS-TUX-11,FOX-2_IVY-2_LUG-8_PAY-8_GAS-11,0
OFF,79.07137459,60.63561298,-81.79092937,OFF-2,ASK_CIS_GUN_WHO_TAG_ORC,ASK-OFF_CIS-OFF_GUN-OFF_OFF-WHO_OFF-TAG_OFF-ORC,ASK-OFF-2_CIS-OFF-2_GUN-OFF-2_OFF-TAG-2_OFF-ORC-2_OFF-WHO-2,ASK-2_CIS-2_GUN-2_TAG-2_ORC-2_WHO-1,1
HAM,-78.12024741,6.428795983,43.02018763,HAM-6,ASH_DUH_LAX_ICE,ASH-HAM_DUH-HAM_HAM-LAX_HAM-ICE,DUH-HAM-6_HAM-LAX-6_HAM-ICE-6_ASH-HAM-12,DUH-6_LAX-6_ICE-6_ASH-12,0
CHI,-102.5418844,-38.04451102,-16.48294537,CHI-9,AGE_BED_MAD_COY,AGE-CHI_BED-CHI_CHI-MAD_CHI-COY,AGE-CHI-9_BED-CHI-9_CHI-COY-9_CHI-MAD-9,AGE-9_BED-9_COY-9_MAD-12,0
FIX,74.09911959,-9.163696017,23.39753763,FIX-7_FIX-11,COW_ODD_POP_GIG,COW-FIX_FIX-ODD_FIX-POP_FIX-GIG,COW-FIX-11_FIX-ODD-11_FIX-GIG-11_FIX-POP-7,COW-11_ODD-11_GIG-11_POP-7,0
JAR,84.01051459,-54.19003002,-46.44022937,JAR-8,ETA_PAY_YAY_WHY_SAW,ETA-JAR_JAR-PAY_JAR-YAY_JAR-WHY_JAR-SAW,ETA-JAR-8_JAR-PAY-8_JAR-YAY-8_JAR-WHY-8_JAR-SAW-8,ETA-8_PAY-8_YAY-8_WHY-8_SAW-8,0
GIG,41.95506859,-21.83033602,51.21567163,GIG-14_GIG-11,AIR_FAX_FIX_IRE_YES,AIR-GIG_FAX-GIG_FIX-GIG_GIG-IRE_GIG-YES,AIR-GIG-11_FAX-GIG-11_FIX-GIG-11_GIG-IRE-14_GIG-YES-14,AIR-11_FAX-11_FIX-11_IRE-14_YES-7,0
ZIG,-112.1824644,49.38235198,-30.73944437,ZIG-4,DAY_OAR_PAW,DAY-ZIG_OAR-ZIG_PAW-ZIG,DAY-ZIG-4_PAW-ZIG-4_OAR-ZIG-3,DAY-4_PAW-4_OAR-3,0
JAM,30.08529959,-105.085851,49.11054163,JAM-13_JAM-11,EAR_HOT_ZOO_PIG_MOO,EAR-JAM_HOT-JAM_JAM-ZOO_JAM-PIG_JAM-MOO,EAR-JAM-11_JAM-ZOO-11_HOT-JAM-13_JAM-PIG-13_JAM-MOO-13,EAR-11_ZOO-11_HOT-13_PIG-13_MOO-10,0
FIG,-68.95094441,-94.26845802,33.62420063,FIG-12,ART_BUG_KEY_NOR_YAK,ART-FIG_BUG-FIG_FIG-KEY_FIG-NOR_FIG-YAK,ART-FIG-12_BUG-FIG-12_FIG-KEY-12_FIG-NOR-12_FIG-YAK-12,ART-12_BUG-12_KEY-12_NOR-12_YAK-12,0
WET,55.73786259,71.53245898,30.98683663,WET-1_WET-7,BRO_DUB_ELF_NOM_TOY,BRO-WET_DUB-WET_ELF-WET_NOM-WET_TOY-WET,DUB-WET-1_ELF-WET-1_NOM-WET-1_BRO-WET-7_NOM-WET-7_TOY-WET-7,DUB-1_ELF-1_NOM-1_BRO-7_NOM-7_TOY-7,0
GIN,-90.01991741,31.45906698,17.70368663,GIN-6_GIN-4,SAY_LAX_ZZZ_VOW,GIN-SAY_GIN-LAX_GIN-ZZZ_GIN-VOW,GIN-SAY-4_GIN-LAX-6_GIN-ZZZ-6_GIN-VOW-6,SAY-4_LAX-6_ZZZ-6_VOW-6,0
LAM,-49.51198841,-46.33818502,61.93299363,LAM-12,ACT_ASH_LAB_TRY,ACT-LAM_ASH-LAM_LAB-LAM_LAM-TRY,ACT-LAM-12_ASH-LAM-12_LAB-LAM-12_LAM-TRY-12,ACT-12_ASH-12_LAB-12_TRY-6,0
PHI,72.03006459,-102.675703,5.518761628,PHI-11_PHI-8,EAR_GEL_TAR_WAS,EAR-PHI_GEL-PHI_PHI-TAR_PHI-WAS,EAR-PHI-11_PHI-TAR-11_PHI-WAS-11_PHI-TAR-8_GEL-PHI-10,EAR-11_TAR-11_WAS-11_TAR-8_GEL-10,0
OIL,-55.28968041,101.814954,-2.314150372,OIL-3_OIL-5,AGO_ALA_GUT_RUM,AGO-OIL_ALA-OIL_GUT-OIL_OIL-RUM,AGO-OIL-3_ALA-OIL-3_GUT-OIL-3_OIL-RUM-3_OIL-RUM-5,AGO-3_ALA-3_GUT-3_RUM-3_RUM-5,0
NIL,25.22632359,54.72796798,52.16379663,NIL-5_NIL-7,ADO_AHI_EON_ERA,ADO-NIL_AHI-NIL_EON-NIL_ERA-NIL,ADO-NIL-5_AHI-NIL-7_EON-NIL-7_ERA-NIL-7,ADO-5_AHI-7_EON-7_ERA-7,0
EYE,97.34155959,14.98342398,16.20123563,EYE-7,GAS_SUN_POP,EYE-GAS_EYE-SUN_EYE-POP,EYE-SUN-7_EYE-POP-7_EYE-GAS-7,SUN-7_POP-7_GAS-11,0
ELF,42.59283659,109.975758,-1.147938372,ELF-1,ADO_DUB_WET_GAL_WAR,ADO-ELF_DUB-ELF_ELF-WET_ELF-GAL_ELF-WAR,DUB-ELF-1_ELF-WET-1_ELF-GAL-1_ELF-WAR-1_ADO-ELF-5,DUB-1_WET-1_GAL-1_WAR-1_ADO-5,0
LEG,53.69602259,137.684574,-68.68453837,LEG-1,OVA_SPY_WHO_RAW_NIX,LEG-OVA_LEG-SPY_LEG-WHO_LEG-RAW_LEG-NIX,LEG-OVA-1_LEG-SPY-1_LEG-WHO-1_LEG-RAW-1_LEG-NIX-1,OVA-1_SPY-1_WHO-1_RAW-1_NIX-1,0
LAB,-37.12603241,-72.32935502,62.35637563,LAB-13_LAB-12,LAM_TAU_OLD,LAB-LAM_LAB-TAU_LAB-OLD,LAB-TAU-13_LAB-OLD-13_LAB-LAM-12,TAU-13_OLD-13_LAM-12,0
KIT,-93.70142841,-68.56138902,-19.98796437,KIT-9,ART_ELK_NOR_WIG_ONO,ART-KIT_ELK-KIT_KIT-NOR_KIT-WIG_KIT-ONO,ELK-KIT-9_KIT-NOR-9_KIT-WIG-9_KIT-ONO-9_ART-KIT-12,ELK-9_NOR-9_WIG-9_ONO-9_ART-12,0
MAY,-42.89736841,147.070363,-46.28103337,MAY-3,GUT_HEX_INK_SIP,GUT-MAY_HEX-MAY_INK-MAY_MAY-SIP,GUT-MAY-3_HEX-MAY-3_INK-MAY-3_MAY-SIP-3,GUT-3_HEX-3_INK-3_SIP-3,0
NIX,19.61778759,146.65104,-71.21173037,NIX-1,LEG_SPY_OVA_WHO_PIE,LEG-NIX_NIX-SPY_NIX-OVA_NIX-WHO_NIX-PIE,LEG-NIX-1_NIX-SPY-1_NIX-OVA-1_NIX-WHO-1_NIX-PIE-1,LEG-1_SPY-1_OVA-1_WHO-1_PIE-1,1
OVA,37.55681159,148.781207,-44.57590737,OVA-1,LEG_NIX_PIE_RAD,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD,LEG-OVA-1_NIX-OVA-1_OVA-PIE-1_OVA-RAD-1,LEG-1_NIX-1_PIE-1_RAD-1,0
LAX,-79.20396241,-13.41357102,26.66345463,LAX-6_LAX-12,BUG_GIN_HAM_MAD_NAN,BUG-LAX_GIN-LAX_HAM-LAX_LAX-MAD_LAX-NAN,BUG-LAX-12_LAX-MAD-12_GIN-LAX-6_HAM-LAX-6_LAX-NAN-6,BUG-12_MAD-12_GIN-6_HAM-6_NAN-6,0
MAD,-97.55815141,-29.18252802,13.65649863,MAD-12,ART_CHI_COY_ICE_LAX,ART-MAD_CHI-MAD_COY-MAD_ICE-MAD_LAX-MAD,ART-MAD-12_COY-MAD-12_LAX-MAD-12_CHI-MAD-9_ICE-MAD-6,ART-12_COY-12_LAX-12_CHI-9_ICE-6,0
BOX,-102.3783024,45.64410998,-89.24967437,BOX-4,HUG_LID_EGO_VAN,BOX-HUG_BOX-LID_BOX-EGO_BOX-VAN,BOX-HUG-4_BOX-VAN-4_BOX-LID-4_BOX-EGO-4,HUG-4_VAN-4_LID-3_EGO-3,1
AGO,-77.59085641,99.85877998,-32.02837637,AGO-3,ALA_MIX_MOM_OIL,AGO-ALA_AGO-MIX_AGO-MOM_AGO-OIL,AGO-ALA-3_AGO-MIX-3_AGO-MOM-3_AGO-OIL-3,ALA-3_MIX-3_MOM-3_OIL-3,0
YES,54.23545259,26.39750798,41.98318563,YES-7,ACE_ERA_GIG_IRE_MAC,ACE-YES_ERA-YES_GIG-YES_IRE-YES_MAC-YES,ACE-YES-7_ERA-YES-7_IRE-YES-7_MAC-YES-7_GIG-YES-14,ACE-7_ERA-7_IRE-7_MAC-7_GIG-14,0
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,ERA_EVE_FOG_RIB_SOY,ERA-LAW_EVE-LAW_FOG-LAW_LAW-RIB_LAW-SOY,ERA-LAW-14_EVE-LAW-14_FOG-LAW-14_LAW-RIB-14_LAW-SOY-14,ERA-14_EVE-14_FOG-14_RIB-14_SOY-6,0
ZAP,-18.45769141,-88.78774802,49.77636063,ZAP-13,BUG_GOO_HOT_PRO_YAK,BUG-ZAP_GOO-ZAP_HOT-ZAP_PRO-ZAP_YAK-ZAP,GOO-ZAP-13_HOT-ZAP-13_PRO-ZAP-13_YAK-ZAP-13_BUG-ZAP-12,GOO-13_HOT-13_PRO-13_YAK-13_BUG-12,0
FLY,-82.18924841,94.36766498,1.048107628,FLY-3_FLY-5,ALA_DRY_VOW_TAX_WIZ,ALA-FLY_DRY-FLY_FLY-VOW_FLY-TAX_FLY-WIZ,ALA-FLY-3_FLY-TAX-3_DRY-FLY-5_FLY-VOW-5_FLY-WIZ-5,ALA-3_TAX-3_DRY-5_VOW-5_WIZ-4,0
AHI,39.02183059,34.45504998,64.71688063,AHI-7,NIL_ERA_IRE_EON,AHI-NIL_AHI-ERA_AHI-IRE_AHI-EON,AHI-NIL-7_AHI-ERA-7_AHI-IRE-7_AHI-EON-7,NIL-7_ERA-7_IRE-7_EON-7,0
LUG,87.02662859,-36.21138802,-5.755776372,LUG-11_LUG-8,KEG_TUX,KEG-LUG_LUG-TUX,KEG-LUG-11_KEG-LUG-8_LUG-TUX-8,KEG-11_KEG-8_TUX-8,0
FLU,-106.7256264,-7.093324017,-80.89485437,FLU-4,CUP_HUG_SIR_VAN,CUP-FLU_FLU-HUG_FLU-SIR_FLU-VAN,CUP-FLU-4_FLU-HUG-4_FLU-VAN-4_FLU-SIR-4,CUP-4_HUG-4_VAN-4_SIR-9,1
GUN,80.21752159,86.71068098,-50.51652737,GUN-1_GUN-2,JOY_RAW_WHO_OFF_TUB,GUN-JOY_GUN-RAW_GUN-WHO_GUN-OFF_GUN-TUB,GUN-JOY-1_GUN-RAW-1_GUN-WHO-1_GUN-OFF-2_GUN-TUB-2,JOY-1_RAW-1_WHO-1_OFF-2_TUB-2,0
BED,-94.74560041,-9.822877017,-9.187424372,BED-12_BED-9_BED-4,ICE_DOG_SAY_CHI_DAY,BED-ICE_BED-DOG_BED-SAY_BED-CHI_BED-DAY,BED-ICE-4_BED-DOG-4_BED-SAY-4_BED-DAY-4_BED-DOG-9_BED-CHI-9,ICE-4_DOG-4_SAY-4_DAY-4_DOG-9_CHI-9,0
GUT,-58.81736041,125.501099,-49.45211537,GUT-3,INK_MAY_SIP_OIL,GUT-INK_GUT-MAY_GUT-SIP_GUT-OIL,GUT-INK-3_GUT-MAY-3_GUT-SIP-3_GUT-OIL-3,INK-3_MAY-3_SIP-3_OIL-3,0
FUN,-41.77578841,81.21320698,46.46754063,FUN-5,DRY_FAN_NAY_PLY_REF,DRY-FUN_FAN-FUN_FUN-NAY_FUN-PLY_FUN-REF,DRY-FUN-5_FUN-NAY-5_FUN-PLY-5_FUN-REF-5_FAN-FUN-6,DRY-5_NAY-5_PLY-5_REF-5_FAN-6,0
HUG,-93.46122141,17.77017398,-89.94626137,HUG-4,BOX_FLU_GYM_VAN_SIR_LID,BOX-HUG_FLU-HUG_GYM-HUG_HUG-VAN_HUG-SIR_HUG-LID,BOX-HUG-4_FLU-HUG-4_GYM-HUG-4_HUG-VAN-4_HUG-SIR-4_HUG-LID-4,BOX-4_FLU-4_GYM-4_VAN-4_SIR-9_LID-3,1
SIR,-85.17058541,-36.93601502,-81.99597937,SIR-9,BAR_FLU_HUG_ONO_TAT,BAR-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT,BAR-SIR-9_ONO-SIR-9_SIR-TAT-9_FLU-SIR-4_HUG-SIR-4,BAR-9_ONO-9_TAT-9_FLU-4_HUG-4,1
JUG,-5.433488406,37.92189098,71.05300363,JUG-5_JUG-6,ERA_JOB_SOY_MOP,ERA-JUG_JOB-JUG_JUG-SOY_JUG-MOP,JOB-JUG-5_ERA-JUG-6_JUG-SOY-6_JUG-MOP-6,JOB-5_ERA-6_SOY-6_MOP-6,0
GET,-11.22186041,-141.007733,-35.38363137,GET-10,CAB_COP_FOR_OAK_WOW_NEW,CAB-GET_COP-GET_FOR-GET_GET-OAK_GET-WOW_GET-NEW,CAB-GET-10_COP-GET-10_FOR-GET-10_GET-OAK-10_GET-WOW-10_GET-NEW-10,CAB-10_COP-10_FOR-10_OAK-10_WOW-10_NEW-10,1
ROB,41.82992959,-142.516761,-24.93582837,ROB-10,AMP_CAB_GEL_OAK_SEX,AMP-ROB_CAB-ROB_GEL-ROB_OAK-ROB_ROB-SEX,AMP-ROB-10_CAB-ROB-10_GEL-ROB-10_OAK-ROB-10_ROB-SEX-10,AMP-10_CAB-10_GEL-10_OAK-10_SEX-10,0
MAC,68.15962259,1.329739983,49.85057663,MAC-11_MAC-7,AIR_POP_YES,AIR-MAC_MAC-POP_MAC-YES,AIR-MAC-11_MAC-POP-7_MAC-YES-7,AIR-11_POP-7_YES-7,0
AMP,51.99566359,-118.984127,-45.29832237,AMP-8_AMP-10,ROB_YAY_SAW_CAB,AMP-ROB_AMP-YAY_AMP-SAW_AMP-CAB,AMP-ROB-10_AMP-CAB-10_AMP-YAY-8_AMP-SAW-8,ROB-10_CAB-10_YAY-8_SAW-8,1
BUG,-59.09933341,-64.50047202,38.98281863,BUG-12,ASH_ZAP_NOR_LAX_FIG,ASH-BUG_BUG-ZAP_BUG-NOR_BUG-LAX_BUG-FIG,ASH-BUG-12_BUG-NOR-12_BUG-LAX-12_BUG-FIG-12_BUG-ZAP-12,ASH-12_NOR-12_LAX-12_FIG-12_ZAP-13,0
GEL,53.08506359,-136.052756,7.895627628,GEL-10,EAR_SEX_PHI_ROB_MOO,EAR-GEL_GEL-SEX_GEL-PHI_GEL-ROB_GEL-MOO,EAR-GEL-10_GEL-SEX-10_GEL-ROB-10_GEL-MOO-10_GEL-PHI-10,EAR-10_SEX-10_ROB-10_MOO-10_PHI-8,0
FOR,-1.859306406,-159.398511,-11.69254437,FOR-10,EGG_OAK_GET_RUG_HIP,EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,EGG-FOR-10_FOR-OAK-10_FOR-GET-10_FOR-RUG-10_FOR-HIP-10,EGG-10_OAK-10_GET-10_RUG-10_HIP-10,0
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14_TAU-13_TAU-6,ACT_FOG_LAB_LIE_TRY,ACT-TAU_FOG-TAU_LAB-TAU_LIE-TAU_TAU-TRY,LAB-TAU-13_LIE-TAU-13_FOG-TAU-14_LIE-TAU-14_ACT-TAU-6_FOG-TAU-6_TAU-TRY-6,LAB-13_LIE-13_FOG-14_LIE-14_ACT-6_FOG-6_TRY-6,0
SHY,-28.92061941,125.976734,7.891281628,SHY-5,BOA_DRY_HOW_INK,BOA-SHY_DRY-SHY_HOW-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_HOW-SHY-5_INK-SHY-3,BOA-5_DRY-5_HOW-5_INK-3,0
WOW,-56.48277041,-131.871081,-17.25148337,WOW-10_WOW-9,COP_GET_GOO_KEY_WIG,COP-WOW_GET-WOW_GOO-WOW_KEY-WOW_WIG-WOW,COP-WOW-10_GET-WOW-10_GOO-WOW-10_COP-WOW-9_KEY-WOW-9_WIG-WOW-9,COP-10_GET-10_GOO-10_COP-9_KEY-9_WIG-9,0
FOX,113.4612856,14.11545098,-39.83334437,FOX-2,BOY_ETA_IVY_TUX,BOY-FOX_ETA-FOX_FOX-IVY_FOX-TUX,BOY-FOX-2_ETA-FOX-2_FOX-IVY-2_FOX-TUX-2,BOY-2_ETA-2_IVY-2_TUX-2,0
ZOO,53.59552959,-79.92789602,45.84201263,ZOO-11,EAR_JAM_LIE_WAS,EAR-ZOO_JAM-ZOO_LIE-ZOO_WAS-ZOO,EAR-ZOO-11_JAM-ZOO-11_LIE-ZOO-11_WAS-ZOO-11,EAR-11_JAM-11_LIE-11_WAS-11,0
TRY,-39.11595341,-19.65037802,71.77933563,TRY-6,DUH_FOG_LAM_SOY_TAU,DUH-TRY_FOG-TRY_LAM-TRY_SOY-TRY_TAU-TRY,DUH-TRY-6_FOG-TRY-6_SOY-TRY-6_TAU-TRY-6_LAM-TRY-12,DUH-6_FOG-6_SOY-6_TAU-6_LAM-12,0
FOG,-11.92286041,-24.93838202,78.58385063,FOG-6_FOG-14,TAU_LAW_TRY_RIB_OLD,FOG-TAU_FOG-LAW_FOG-TRY_FOG-RIB_FOG-OLD,FOG-TAU-14_FOG-LAW-14_FOG-RIB-14_FOG-OLD-14_FOG-TAU-6_FOG-TRY-6_FOG-RIB-6,TAU-14_LAW-14_RIB-14_OLD-14_TAU-6_TRY-6_RIB-6,0
